Question,A,B,C,D,E
14. Закончите предложение: Prince Charles is Queen Elizabeth’s II … . ,A) Uncle.,B) Husband.,C) Father.,D) Brother.,E) Son. 
15. Выберите слово с третьим типом слога:  ,A) Observe.,B) More.,C) Visit.,D) Place.,E) Pupil. 
16. Синонимом слова shut является: ,A) Close.,B) Open.,C) Make.,D) Turn.,E) Pick. 
17. Выберите фразовый глагол со значением «Продолжать»: ,A) To go about,B) To go in for,C) To go off,D) To go on,E) To go without
18. Найдите предложение с фразовым глаголом:  ,A) I don’t put any sugar into my tea.,B) Put it on the table.,C) Don’t put your legs on the sofa.,D) It was cold so he put on his coat.,E) Put the book in the bookcase. 
19. Подберите соответствующий перевод: The book is less interesting than the film. ,"A) Книга менее интересная, чем фильм.","B) Фильм менее интересный, чем книга.","C) Книга более интересная, чем фильм.","D) Фильм такой же интересный, как книга.",E) Книга такая же интересная как фильм. 
20. Вставьте нужное указательное местоимение в предложении: Look! ... men in the street are my friends. ,A) That,B) Which,C) This,D) Whose,E) These
21. Выберите правильный вариант вопросительного местоимения: By … is this book written? ,A) What.,B) Who.,C) Whom.,D) Whose.,E) Which. 
"22. Вставьте модальный глагол: …I speak to Sam, please? – Just a minute. ",A) Ought,B) Must ,C) Could,D) Will ,E) Shall
"23. Выберите предложение, в котором причастие употреблено в функции обстоятельства: ",A) The boy crying in the street is my friend.,B) The boy reading a book is my brother.,C) I heard her speaking on the phone.,D) They saw a flying bird.,E) While reading a book she was eating sweets. 
"24. Прочитайте текст и ответьте на вопрос после текста: Jonathan Swift liked order in everything. All the people in his house, for example, had to shut the door behind them when they came into the room or left it. One day a maid servant came and asked him to let her visit her sister who lived ten miles away. Swift not only agreed, but let her go there in his own carriage. The girl was so happy that she forgot to shut the door when she left the room. Swift let her go, but about half an hour later he ordered one of the servant to ride after the carriage and tell the girl come back. The poor girl had to turn back. She asked him what he wanted. I only want you to shut the door, was his answer. Now you may go to visit your sister. I wish you a pleasant journey. Why did J. Swift order the girl to come back? ",A) Because he wanted to wish her a pleasant jourhey.,B) Because he was a good master.,C) Because he wanted to teach her discipline.,D) Because he wanted to stay her at home.,E) Because he wanted to give her his carriage. 
25. Закончите фразеологизм: To … oneself together. Взять себя в руки. ,A) Pull.,B) Get.,C) Take.,D) Give.,E) Put. 
26. Выберите значение приставки de-: ,A) повтор действия,B) внутри,C)  сверх-,D) противоположное значение,E) взаимо-
27. Найдите правильный вариант глагола: … you often … your brother these days?  ,A) Is . . . seen,B) Do . . . see,C) Has . . . seen,D) Are . . . seeing,E) Does . . . see 
"28. Найдите правильный вариант глагола. After everybody… a chance to say what they thought, we took a vote. ",A) had had,B) would have,C) has had,D) has,E) have had
29. Выберите правильную форму глагола в страдательном залоге: Her book (to finish) next month. ,A) Were finished.,B) Be finished.,C) Is finished.,D) Was finished.,E) Will be finished. 
30. Задайте вопрос к предложению: He used to wear glasses twenty years ago. ,A) Used he to wear glasses twenty years ago?,B) Did he use to wear glasses twenty years ago?,C) Do he used to wear glasses twenty years ago? ,D) Didn’t he used to wear glasses twenty years ago?,E) Does he used to wear glasses twenty years ago? 
 1. Выберите антоним слова: Harmful. ,A) fan.,B) hobby.,C) lucky.,D) useful.,E) foolish. 
 2. Выберите правильное слово.  He was born in … small Russian town. ,A) –,B) an,C) the,D) some,E) a
